comp_1,comp_2,smile_1,smile_2
CHEBI:9921,CHEBI:15825,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,CC(C)=CC=O
CHEBI:9921,CHEBI:16358,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,O[C@H]1CO[C@H](OC[C@H]2O[C@@H](O[C@@H](C#N)c3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
CHEBI:9921,CHEBI:166,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,C[C@H]1CC[C@H](CC1=O)C(C)=C
CHEBI:9921,CHEBI:17344,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,OC(=O)\C=C/C=C(C(O)=O)C(O)=O
CHEBI:9921,CHEBI:17886,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,OCC(=O)[C@@H](O)[C@@H](O)[C@H](O)C([O-])=O
CHEBI:9921,CHEBI:27825,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,COc1cc(O)c2c(c1)oc(-c1ccc(OC)c(O)c1)c(OC)c2=O
CHEBI:9921,CHEBI:28470,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,O=C1CN=CN1
CHEBI:9921,CHEBI:29055,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,Oc1ccc(CC(=O)C([O-])=O)cc1O
CHEBI:9921,CHEBI:30718,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,N#[N][Mo+4]123([N]#N)[P-](CC[P-]1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.C(C[P-]2(c1ccccc1)c1ccccc1)[P-]3(c1ccccc1)c1ccccc1
CHEBI:9921,CHEBI:34809,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,CC(C)S(=O)(=O)NCC(C)c1ccc(NC(=O)c2ccccc2)cc1
CHEBI:9921,CHEBI:34810,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,[C@@H]1(O[C@H]([C@H](O)[C@H]([C@H]1O)O)O[C@@H]([C@@H]([C@H](CO)O)O)[C@@H](CO)O)CO.O.O
CHEBI:9921,CHEBI:37476,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,O[C@H]1C=Cc2c(ccc3ccccc23)[C@H]1O
CHEBI:9921,CHEBI:48242,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,O=[Cr]O[Cr]=O
